Source,Target,Weight,Type
coben_breaker,coben_dropshot,53,undirected
coben_breaker,coben_fadeaway,41,undirected
coben_breaker,coben_falsemove,30,undirected
coben_dropshot,coben_breaker,53,undirected
coben_dropshot,coben_fadeaway,53,undirected
coben_dropshot,coben_falsemove,22,undirected
coben_fadeaway,coben_breaker,41,undirected
coben_fadeaway,coben_dropshot,53,undirected
coben_fadeaway,coben_falsemove,41,undirected
coben_fadeaway,coben_nosecondchance,2,undirected
coben_fadeaway,coben_tellnoone,3,undirected
coben_falsemove,coben_breaker,30,undirected
coben_falsemove,coben_dropshot,22,undirected
coben_falsemove,coben_fadeaway,41,undirected
coben_falsemove,coben_goneforgood,10,undirected
coben_falsemove,coben_nosecondchance,8,undirected
coben_falsemove,coben_tellnoone,7,undirected
coben_goneforgood,coben_falsemove,10,undirected
coben_goneforgood,coben_nosecondchance,55,undirected
coben_goneforgood,coben_tellnoone,55,undirected
coben_nosecondchance,coben_fadeaway,2,undirected
coben_nosecondchance,coben_falsemove,8,undirected
coben_nosecondchance,coben_goneforgood,55,undirected
coben_nosecondchance,coben_tellnoone,40,undirected
coben_tellnoone,coben_fadeaway,3,undirected
coben_tellnoone,coben_falsemove,7,undirected
coben_tellnoone,coben_goneforgood,55,undirected
coben_tellnoone,coben_nosecondchance,40,undirected
galbraith_cuckoos,rowling_casual,60,undirected
galbraith_cuckoos,rowling_goblet,1,undirected
galbraith_cuckoos,rowling_order,13,undirected
galbraith_cuckoos,rowling_prince,16,undirected
lewis_battle,lewis_caspian,33,undirected
lewis_battle,lewis_chair,46,undirected
lewis_battle,lewis_horse,3,undirected
lewis_battle,lewis_lion,5,undirected
lewis_battle,lewis_nephew,13,undirected
lewis_battle,lewis_voyage,29,undirected
lewis_battle,tolkien_lord3,6,undirected
lewis_caspian,lewis_battle,33,undirected
lewis_caspian,lewis_chair,21,undirected
lewis_caspian,lewis_horse,28,undirected
lewis_caspian,lewis_lion,19,undirected
lewis_caspian,lewis_voyage,42,undirected
lewis_caspian,tolkien_lord1,4,undirected
lewis_caspian,tolkien_lord2,10,undirected
lewis_chair,lewis_battle,46,undirected
lewis_chair,lewis_caspian,21,undirected
lewis_chair,lewis_horse,16,undirected
lewis_chair,lewis_lion,22,undirected
lewis_chair,lewis_nephew,35,undirected
lewis_chair,lewis_voyage,54,undirected
lewis_horse,lewis_battle,3,undirected
lewis_horse,lewis_caspian,28,undirected
lewis_horse,lewis_chair,16,undirected
lewis_horse,lewis_lion,5,undirected
lewis_horse,lewis_nephew,1,undirected
lewis_horse,lewis_voyage,22,undirected
lewis_horse,tolkien_lord3,4,undirected
lewis_lion,lewis_battle,5,undirected
lewis_lion,lewis_caspian,19,undirected
lewis_lion,lewis_chair,22,undirected
lewis_lion,lewis_horse,5,undirected
lewis_lion,lewis_voyage,9,undirected
lewis_nephew,lewis_battle,13,undirected
lewis_nephew,lewis_chair,35,undirected
lewis_nephew,lewis_horse,1,undirected
lewis_nephew,lewis_voyage,17,undirected
lewis_voyage,lewis_battle,29,undirected
lewis_voyage,lewis_caspian,42,undirected
lewis_voyage,lewis_chair,54,undirected
lewis_voyage,lewis_horse,22,undirected
lewis_voyage,lewis_lion,9,undirected
lewis_voyage,lewis_nephew,17,undirected
lewis_voyage,tolkien_lord1,6,undirected
rowling_casual,galbraith_cuckoos,60,undirected
rowling_casual,rowling_hallows,17,undirected
rowling_casual,rowling_order,3,undirected
rowling_casual,rowling_prince,9,undirected
rowling_casual,rowling_prisoner,1,undirected
rowling_chamber,rowling_goblet,49,undirected
rowling_chamber,rowling_order,24,undirected
rowling_chamber,rowling_prisoner,30,undirected
rowling_chamber,rowling_stone,47,undirected
rowling_goblet,galbraith_cuckoos,1,undirected
rowling_goblet,rowling_chamber,49,undirected
rowling_goblet,rowling_hallows,14,undirected
rowling_goblet,rowling_order,54,undirected
rowling_goblet,rowling_prince,28,undirected
rowling_goblet,rowling_prisoner,19,undirected
rowling_goblet,rowling_stone,22,undirected
rowling_hallows,rowling_casual,17,undirected
rowling_hallows,rowling_goblet,14,undirected
rowling_hallows,rowling_order,22,undirected
rowling_hallows,rowling_prince,34,undirected
rowling_order,galbraith_cuckoos,13,undirected
rowling_order,rowling_casual,3,undirected
rowling_order,rowling_chamber,24,undirected
rowling_order,rowling_goblet,54,undirected
rowling_order,rowling_hallows,22,undirected
rowling_order,rowling_prince,56,undirected
rowling_order,rowling_stone,10,undirected
rowling_prince,galbraith_cuckoos,16,undirected
rowling_prince,rowling_casual,9,undirected
rowling_prince,rowling_goblet,28,undirected
rowling_prince,rowling_hallows,34,undirected
rowling_prince,rowling_order,56,undirected
rowling_prisoner,rowling_casual,1,undirected
rowling_prisoner,rowling_chamber,30,undirected
rowling_prisoner,rowling_goblet,19,undirected
rowling_prisoner,rowling_stone,11,undirected
rowling_stone,rowling_chamber,47,undirected
rowling_stone,rowling_goblet,22,undirected
rowling_stone,rowling_order,10,undirected
rowling_stone,rowling_prisoner,11,undirected
tolkien_lord1,lewis_caspian,4,undirected
tolkien_lord1,lewis_voyage,6,undirected
tolkien_lord1,tolkien_lord2,60,undirected
tolkien_lord1,tolkien_lord3,41,undirected
tolkien_lord2,lewis_caspian,10,undirected
tolkien_lord2,tolkien_lord1,60,undirected
tolkien_lord2,tolkien_lord3,49,undirected
tolkien_lord3,lewis_battle,6,undirected
tolkien_lord3,lewis_horse,4,undirected
tolkien_lord3,tolkien_lord1,41,undirected
tolkien_lord3,tolkien_lord2,49,undirected
