Source,Target,Weight,Type
coben_breaker,coben_dropshot,6,undirected
coben_breaker,coben_fadeaway,4,undirected
coben_breaker,coben_falsemove,3,undirected
coben_dropshot,coben_breaker,6,undirected
coben_dropshot,coben_fadeaway,5,undirected
coben_dropshot,coben_falsemove,2,undirected
coben_fadeaway,coben_breaker,4,undirected
coben_fadeaway,coben_dropshot,5,undirected
coben_fadeaway,coben_falsemove,4,undirected
coben_falsemove,coben_breaker,3,undirected
coben_falsemove,coben_dropshot,2,undirected
coben_falsemove,coben_fadeaway,4,undirected
coben_falsemove,coben_goneforgood,1,undirected
coben_falsemove,coben_nosecondchance,1,undirected
coben_falsemove,coben_tellnoone,1,undirected
coben_goneforgood,coben_falsemove,1,undirected
coben_goneforgood,coben_nosecondchance,5,undirected
coben_goneforgood,coben_tellnoone,6,undirected
coben_nosecondchance,coben_falsemove,1,undirected
coben_nosecondchance,coben_goneforgood,5,undirected
coben_nosecondchance,coben_tellnoone,4,undirected
coben_tellnoone,coben_falsemove,1,undirected
coben_tellnoone,coben_goneforgood,6,undirected
coben_tellnoone,coben_nosecondchance,4,undirected
galbraith_cuckoos,rowling_casual,6,undirected
galbraith_cuckoos,rowling_order,2,undirected
galbraith_cuckoos,rowling_prince,1,undirected
lewis_battle,lewis_caspian,5,undirected
lewis_battle,lewis_chair,1,undirected
lewis_battle,lewis_horse,3,undirected
lewis_battle,lewis_nephew,1,undirected
lewis_battle,lewis_voyage,5,undirected
lewis_caspian,lewis_battle,5,undirected
lewis_caspian,lewis_chair,3,undirected
lewis_caspian,lewis_horse,2,undirected
lewis_caspian,lewis_lion,1,undirected
lewis_caspian,lewis_voyage,1,undirected
lewis_caspian,tolkien_lord1,1,undirected
lewis_caspian,tolkien_lord2,1,undirected
lewis_chair,lewis_battle,1,undirected
lewis_chair,lewis_caspian,3,undirected
lewis_chair,lewis_lion,2,undirected
lewis_chair,lewis_nephew,5,undirected
lewis_chair,lewis_voyage,6,undirected
lewis_horse,lewis_battle,3,undirected
lewis_horse,lewis_caspian,2,undirected
lewis_horse,lewis_voyage,1,undirected
lewis_horse,tolkien_lord3,1,undirected
lewis_lion,lewis_caspian,1,undirected
lewis_lion,lewis_chair,2,undirected
lewis_lion,lewis_voyage,3,undirected
lewis_nephew,lewis_battle,1,undirected
lewis_nephew,lewis_chair,5,undirected
lewis_nephew,lewis_voyage,3,undirected
lewis_voyage,lewis_battle,5,undirected
lewis_voyage,lewis_caspian,1,undirected
lewis_voyage,lewis_chair,6,undirected
lewis_voyage,lewis_horse,1,undirected
lewis_voyage,lewis_lion,3,undirected
lewis_voyage,lewis_nephew,3,undirected
rowling_casual,galbraith_cuckoos,6,undirected
rowling_casual,rowling_order,2,undirected
rowling_casual,rowling_prisoner,1,undirected
rowling_chamber,rowling_goblet,4,undirected
rowling_chamber,rowling_order,2,undirected
rowling_chamber,rowling_prisoner,3,undirected
rowling_chamber,rowling_stone,6,undirected
rowling_goblet,rowling_chamber,4,undirected
rowling_goblet,rowling_hallows,3,undirected
rowling_goblet,rowling_order,6,undirected
rowling_goblet,rowling_prince,2,undirected
rowling_goblet,rowling_prisoner,2,undirected
rowling_goblet,rowling_stone,3,undirected
rowling_hallows,rowling_goblet,3,undirected
rowling_hallows,rowling_order,2,undirected
rowling_hallows,rowling_prince,2,undirected
rowling_order,galbraith_cuckoos,2,undirected
rowling_order,rowling_casual,2,undirected
rowling_order,rowling_chamber,2,undirected
rowling_order,rowling_goblet,6,undirected
rowling_order,rowling_hallows,2,undirected
rowling_order,rowling_prince,5,undirected
rowling_order,rowling_stone,1,undirected
rowling_prince,galbraith_cuckoos,1,undirected
rowling_prince,rowling_goblet,2,undirected
rowling_prince,rowling_hallows,2,undirected
rowling_prince,rowling_order,5,undirected
rowling_prisoner,rowling_casual,1,undirected
rowling_prisoner,rowling_chamber,3,undirected
rowling_prisoner,rowling_goblet,2,undirected
rowling_prisoner,rowling_stone,1,undirected
rowling_stone,rowling_chamber,6,undirected
rowling_stone,rowling_goblet,3,undirected
rowling_stone,rowling_order,1,undirected
rowling_stone,rowling_prisoner,1,undirected
tolkien_lord1,lewis_caspian,1,undirected
tolkien_lord1,tolkien_lord2,6,undirected
tolkien_lord1,tolkien_lord3,5,undirected
tolkien_lord2,lewis_caspian,1,undirected
tolkien_lord2,tolkien_lord1,6,undirected
tolkien_lord2,tolkien_lord3,4,undirected
tolkien_lord3,lewis_horse,1,undirected
tolkien_lord3,tolkien_lord1,5,undirected
tolkien_lord3,tolkien_lord2,4,undirected
