Source,Target,Weight,Type
COM_ado_1599.txt_1,COM_ado_1599.txt_7,3,undirected
COM_ado_1599.txt_1,COM_ado_1599.txt_12,1,undirected
COM_ado_1599.txt_1,COM_shrew_1594.txt_6,2,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_3,2,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_8,2,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_10,3,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_11,2,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_16,1,undirected
COM_ado_1599.txt_2,COM_ado_1599.txt_23,5,undirected
COM_ado_1599.txt_2,COM_shrew_1594.txt_10,2,undirected
COM_ado_1599.txt_2,COM_shrew_1594.txt_16,4,undirected
COM_ado_1599.txt_2,TRA_romeo_1595.txt_3,1,undirected
COM_ado_1599.txt_3,COM_ado_1599.txt_2,2,undirected
COM_ado_1599.txt_3,COM_ado_1599.txt_10,1,undirected
COM_ado_1599.txt_3,COM_like_1600.txt_17,3,undirected
COM_ado_1599.txt_3,COM_measure_1604.txt_14,1,undirected
COM_ado_1599.txt_3,TRA_hamlet_1601.txt_17,2,undirected
COM_ado_1599.txt_4,COM_ado_1599.txt_6,1,undirected
COM_ado_1599.txt_4,COM_shrew_1594.txt_4,5,undirected
COM_ado_1599.txt_4,COM_shrew_1594.txt_7,2,undirected
COM_ado_1599.txt_4,COM_shrew_1594.txt_14,2,undirected
COM_ado_1599.txt_4,COM_shrew_1594.txt_19,1,undirected
COM_ado_1599.txt_4,TRA_hamlet_1601.txt_8,1,undirected
COM_ado_1599.txt_5,COM_ado_1599.txt_7,6,undirected
COM_ado_1599.txt_5,COM_ado_1599.txt_12,2,undirected
COM_ado_1599.txt_5,COM_ado_1599.txt_14,2,undirected
COM_ado_1599.txt_5,COM_ado_1599.txt_23,1,undirected
COM_ado_1599.txt_5,COM_shrew_1594.txt_7,4,undirected
COM_ado_1599.txt_5,COM_shrew_1594.txt_12,1,undirected
COM_ado_1599.txt_6,COM_ado_1599.txt_4,1,undirected
COM_ado_1599.txt_6,COM_ado_1599.txt_23,2,undirected
COM_ado_1599.txt_6,COM_shrew_1594.txt_4,4,undirected
COM_ado_1599.txt_6,COM_shrew_1594.txt_5,2,undirected
COM_ado_1599.txt_7,COM_ado_1599.txt_1,3,undirected
COM_ado_1599.txt_7,COM_ado_1599.txt_5,6,undirected
COM_ado_1599.txt_7,COM_ado_1599.txt_12,5,undirected
COM_ado_1599.txt_7,COM_ado_1599.txt_13,1,undirected
COM_ado_1599.txt_7,COM_ado_1599.txt_14,1,undirected
COM_ado_1599.txt_7,COM_shrew_1594.txt_7,4,undirected
COM_ado_1599.txt_7,COM_shrew_1594.txt_12,2,undirected
COM_ado_1599.txt_8,COM_ado_1599.txt_2,2,undirected
COM_ado_1599.txt_8,COM_ado_1599.txt_23,3,undirected
COM_ado_1599.txt_8,COM_shrew_1594.txt_4,1,undirected
COM_ado_1599.txt_9,COM_ado_1599.txt_11,3,undirected
COM_ado_1599.txt_9,COM_ado_1599.txt_20,1,undirected
COM_ado_1599.txt_9,COM_like_1600.txt_17,5,undirected
COM_ado_1599.txt_10,COM_ado_1599.txt_2,3,undirected
COM_ado_1599.txt_10,COM_ado_1599.txt_3,1,undirected
COM_ado_1599.txt_10,COM_like_1600.txt_17,6,undirected
COM_ado_1599.txt_10,COM_shrew_1594.txt_4,2,undirected
COM_ado_1599.txt_11,COM_ado_1599.txt_2,2,undirected
COM_ado_1599.txt_11,COM_ado_1599.txt_9,3,undirected
COM_ado_1599.txt_11,COM_like_1600.txt_17,4,undirected
COM_ado_1599.txt_12,COM_ado_1599.txt_1,1,undirected
COM_ado_1599.txt_12,COM_ado_1599.txt_5,2,undirected
COM_ado_1599.txt_12,COM_ado_1599.txt_7,5,undirected
COM_ado_1599.txt_12,COM_ado_1599.txt_13,2,undirected
COM_ado_1599.txt_12,COM_shrew_1594.txt_4,1,undirected
COM_ado_1599.txt_13,COM_ado_1599.txt_7,1,undirected
COM_ado_1599.txt_13,COM_ado_1599.txt_12,2,undirected
COM_ado_1599.txt_13,COM_ado_1599.txt_18,6,undirected
COM_ado_1599.txt_14,COM_ado_1599.txt_5,2,undirected
COM_ado_1599.txt_14,COM_ado_1599.txt_7,1,undirected
COM_ado_1599.txt_14,COM_shrew_1594.txt_13,3,undirected
COM_ado_1599.txt_15,COM_ado_1599.txt_18,1,undirected
COM_ado_1599.txt_15,COM_shrew_1594.txt_5,5,undirected
COM_ado_1599.txt_15,COM_shrew_1594.txt_6,3,undirected
COM_ado_1599.txt_15,COM_shrew_1594.txt_13,6,undirected
COM_ado_1599.txt_15,COM_shrew_1594.txt_21,2,undirected
COM_ado_1599.txt_16,COM_ado_1599.txt_2,1,undirected
COM_ado_1599.txt_16,COM_ado_1599.txt_22,2,undirected
COM_ado_1599.txt_16,COM_ado_1599.txt_23,3,undirected
COM_ado_1599.txt_17,COM_twelfth_1601.txt_14,1,undirected
COM_ado_1599.txt_17,TRA_hamlet_1601.txt_17,6,undirected
