"","Source","Target","Weight"
"1","god","1","0.0405570865879123"
"1","lords","1","0.0296784279888313"
"1","england","1","0.0211194833557308"
"1","crown","1","0.0199996214411195"
"1","grace","1","0.0182398384324447"
"1","majesty","1","0.0164000652870118"
"1","cousin","1","0.0128005091329041"
"1","uncle","1","0.0126405288593882"
"1","royal","1","0.0113606866712611"
"1","duchess","1","0.0112806965345031"
"1","earl","1","0.0112806965345031"
"1","land","1","0.0108807458507134"
"1","sovereign","1","0.0107207655771975"
"1","highness","1","0.0106407754404395"
"1","liege","1","0.00960090366258619"
"1","traitor","1","0.00776113051715337"
"1","gracious","1","0.00752116010687953"
"1","tower","1","0.00680124887605799"
"1","oath","1","0.00672125873930004"
"1","grey","1","0.00672125873930004"
"1","kingdom","1","0.00584136723496261"
"1","thomas","1","0.00576137709820466"
"1","princely","1","0.00528143627765697"
"1","treason","1","0.00512145600414107"
"1","claim","1","0.00496147573062517"
"1","title","1","0.00488148559386722"
"1","wear","1","0.00472150532035133"
"1","days","1","0.00472150532035133"
"1","heir","1","0.00464151518359338"
"1","rivers","1","0.00464151518359338"
"1","protector","1","0.00456152504683543"
"1","base","1","0.00448153491007748"
"1","subjects","1","0.00448153491007748"
"1","castle","1","0.00440154477331953"
"1","presence","1","0.00424156449980363"
"1","realm","1","0.00408158422628774"
"1","subject","1","0.00400159408952979"
"1","mighty","1","0.00384161381601389"
"1","throne","1","0.00376162367925594"
"1","banish","1","0.00368163354249799"
"1","bishop","1","0.00368163354249799"
"1","english","1","0.0035216532689821"
"1","seat","1","0.00328168285870825"
"1","flourish","1","0.00328168285870825"
"1","council","1","0.00328168285870825"
"1","peers","1","0.00328168285870825"
"1","wales","1","0.00312170258519235"
"1","bearing","1","0.00296172231167646"
"1","reign","1","0.00296172231167646"
"1","hereford","1","0.00296172231167646"
"2","nature","2","0.0323710100133987"
"2","strange","2","0.0182096169461466"
"2","purpose","2","0.017157627746865"
"2","worth","2","0.0123832152270486"
"2","play","2","0.0119786039965557"
"2","voice","2","0.0119786039965557"
"2","question","2","0.0115739927660628"
"2","oft","2","0.0114930705199642"
"2","speech","2","0.0108456925511755"
"2","action","2","0.00922724762920387"
"2","form","2","0.00914632538310528"
"2","lack","2","0.00898448089090812"
"2","respect","2","0.00874171415261236"
"2","general","2","0.00752788046113361"
"2","learn","2","0.00736603596893645"
"2","shape","2","0.00688050249234495"
"2","wisdom","2","0.00679958024624636"
"2","motion","2","0.00671865800014778"
"2","thrice","2","0.00655681350795061"
"2","holds","2","0.00655681350795061"
"2","whereof","2","0.00493836858597894"
"2","change","2","0.00477652409378178"
"2","quality","2","0.00477652409378178"
"2","rank","2","0.00461467960158461"
"2","pride","2","0.00445283510938744"
"2","merit","2","0.00421006837109169"
"2","speaking","2","0.00421006837109169"
"2","star","2","0.00412914612499311"
"2","puts","2","0.00396730163279594"
"2","passion","2","0.00388637938669736"
"2","loud","2","0.00388637938669736"
"2","season","2","0.00380545714059877"
"2","natural","2","0.00372453489450019"
"2","mars","2","0.00372453489450019"
"2","appears","2","0.00364361264840161"
"2","bade","2","0.00364361264840161"
"2","offend","2","0.00356269040230302"
"2","regard","2","0.00356269040230302"
"2","appetite","2","0.00340084591010586"
"2","mock","2","0.00323900141790869"
"2","infinite","2","0.00315807917181011"
"2","affections","2","0.00315807917181011"
"2","folly","2","0.00315807917181011"
"2","brains","2","0.00315807917181011"
"2","fore","2","0.00307715692571152"
"2","bent","2","0.00307715692571152"
"2","familiar","2","0.00307715692571152"
"2","firm","2","0.00307715692571152"
"2","gall","2","0.00307715692571152"
"2","crown","2","0.00299623467961294"
"3","heart","3","0.0236150229936004"
"3","death","3","0.0200095990181824"
"3","life","3","0.0195246589513134"
"3","hand","3","0.0185758631683086"
"3","blood","3","0.0146752582826226"
"3","fear","3","0.0146541739318891"
"3","poor","3","0.0141059808128197"
"3","dead","3","0.0117867022321415"
"3","live","3","0.0113860995682062"
"3","die","3","0.0105638098896021"
"3","hold","3","0.00986802631539867"
"3","dear","3","0.00982585761393179"
"3","soul","3","0.00978368891246491"
"3","tongue","3","0.0092776644948624"
"3","gentle","3","0.00820236260745705"
"3","makes","3","0.00816019390599017"
"3","back","3","0.00767525383912109"
"3","rest","3","0.00767525383912109"
"3","turn","3","0.00742224163031983"
"3","shame","3","0.00731681987665264"
"3","earth","3","0.00727465117518577"
"3","end","3","0.00708489201858482"
"3","fall","3","0.00700055461565107"
"3","kill","3","0.00695838591418419"
"3","hands","3","0.00691621721271732"
"3","wilt","3","0.00681079545905012"
"3","shalt","3","0.00647344584731511"
"3","thousand","3","0.00636802409364792"
"3","lay","3","0.00624151798924729"
"3","wrong","3","0.00617826493704698"
"3","body","3","0.00605175883264635"
"3","lies","3","0.0056933248701779"
"3","spirit","3","0.00567224051944446"
"3","break","3","0.00546139701211008"
"3","foul","3","0.00539814395990976"
"3","breath","3","0.00527163785550914"
"3","ne","3","0.00522946915404226"
"3","pity","3","0.00487103519157381"
"3","bloody","3","0.00482886649010693"
"3","lives","3","0.00466019168423943"
"3","sight","3","0.00463910733350599"
"3","strong","3","0.00457585428130567"
"3","cold","3","0.0045336855798388"
"3","draw","3","0.0045336855798388"
"3","sword","3","0.00451260122910536"
"3","thyself","3","0.00447043252763848"
"3","holy","3","0.00432284207250442"
"3","side","3","0.00417525161737035"
"3","black","3","0.00404874551296972"
"3","grave","3","0.00400657681150284"
"4","money","4","0.0215827401076389"
"4","jew","4","0.0215827401076389"
"4","ducats","4","0.014485591283097"
"4","officer","4","0.0139178193771336"
"4","elbow","4","0.0133500474711703"
"4","chain","4","0.0124983896122252"
"4","bond","4","0.0122145036592435"
"4","thousand","4","0.0113628458002985"
"4","mistress","4","0.00994341603539013"
"4","gold","4","0.00994341603539013"
"4","dinner","4","0.00965953008240845"
"4","christian","4","0.00965953008240845"
"4","purse","4","0.00880787222346342"
"4","flesh","4","0.00795621436451839"
"4","choose","4","0.00795621436451839"
"4","pay","4","0.00795621436451839"
"4","signior","4","0.00738844245855504"
